name;frequency
Laura;623
Sarah;477
Lea;426
Michelle;405
Sara;386
Jessica;370
Julia;342
Vanessa;323
Chiara;318
Nina;309
Lara;306
Celine;304
Lisa;283
Jasmin;278
Melanie;266
Anna;259
Fabienne;246
Selina;230
Nadine;222
Jana;211
Noemi;205
Alessia;205
Sabrina;202
Tamara;191
Elena;186
Rahel;186
Larissa;182
Nicole;173
Alexandra;170
Anja;168
Livia;163
Sina;160
Sophie;159
Jennifer;150
Melissa;149
Luana;147
Leonie;144
Elisa;142
Lena;139
Lorena;135
Alina;133
Martina;133
Andrea;133
Aline;131
Stefanie;130
Emma;127
Julie;121
Olivia;116
Nadja;116
Giulia;113
Linda;113
Zoe;112
Sarina;112
Tanja;112
Camille;109
Samira;108
Svenja;107
Marie;105
Léa;103
Marina;102
Fiona;101
Rebecca;101
Ramona;101
Sandra;101
Emilie;100
Nathalie;100
Kim;99
Chantal;99
Salome;98
Valentina;97
Caroline;96
Naomi;95
Manon;95
Angela;94
Sofia;88
Melina;88
Diana;88
Seraina;88
Eva;87
Mathilde;85
Joana;83
Daniela;81
Estelle;79
Simona;78
Deborah;77
Charlotte;76
Nadia;76
Saskia;76
Milena;75
Maria;74
Ana;73
Céline;73
Carmen;73
Pauline;72
Flavia;72
Nora;71
Alicia;71
Elodie;71
Alice;70
Debora;69
Vera;68
Jenny;68
Marion;67
Leandra;66
Delia;66
Justine;66
Sophia;65
Anina;63
Anita;63
Marine;63
Ladina;62
Chloé;62
Patricia;62
Claudia;61
Eliane;61
Natalie;61
Ronja;60
Victoria;60
Valeria;60
Isabelle;60
Leila;60
Maeva;60
Stephanie;60
Carla;59
Lucie;59
Morgane;59
Sonja;58
Mirjam;58
Cindy;58
Gina;56
Joelle;56
Fanny;56
Ivana;56
Adriana;55
Celina;55
Manuela;55
Mara;54
Miriam;54
Noa;54
Alisha;54
Tabea;54
Tina;54
Vivienne;52
Chloe;52
Juliette;52
Jasmine;51
Annina;51
Corina;51
Tania;51
Hannah;50
Lynn;50
Alexia;50
Samantha;50
Ines;50
Katja;50
Anouk;49
Laetitia;49
Shania;49
Corinne;49
Oceane;49
Audrey;48
Viviane;48
Noemie;48
Aurora;47
Clara;47
Kristina;47
Noelle;47
Giada;46
Cheyenne;46
Tatjana;46
Bleona;46
Edona;46
Alyssa;45
Michaela;45
Jelena;45
Anastasia;44
Irina;44
Soraya;44
Muriel;44
Simone;44
Amanda;43
Jael;43
Rachel;43
Andrina;43
Melisa;42
Janina;42
Aurélie;42
Jill;42
Luna;41
Alessandra;41
Celia;41
Tiffany;40
Emily;39
Noémie;39
Dana;39
Leonora;38
Dilara;38
Sharon;38
Océane;38
Karin;38
Lia;37
Amelie;37
Daria;37
Margaux;37
Annika;37
Meret;37
Jeanne;37
Alena;36
Valerie;36
Joy;36
Coralie;36
Francesca;36
Pascale;36
Anais;36
Giorgia;35
Selin;35
Xenia;35
Stella;34
Gabriela;34
Denise;34
Mia;33
Romina;33
Alissa;33
Elsa;33
Yasmine;33
Arta;33
Hanna;32
Isabel;32
Jil;32
Rebekka;32
Carina;32
Amandine;32
Anne;32
Tatiana;32
Marisa;31
Mélissa;31
Shannon;31
Lina;30
Zoé;30
Bianca;30
Flurina;30
Ilaria;30
Aleksandra;30
Mariana;30
Cristina;30
Jade;30
Mélanie;30
Belinda;30
Cynthia;30
Amélie;29
Johanna;29
Maya;29
Yasmin;29
Sonia;29
Selma;28
Gianna;28
Letizia;28
Claire;28
Florence;28
Iris;28
Katarina;28
Kelly;28
Valentine;28
Serena;27
Anaïs;27
Antonia;27
Louise;27
Elise;27
Joanna;27
Marija;27
Cassandra;27
Veronica;27
Jacqueline;27
Paula;26
Lucia;26
Arianna;26
Silvia;26
Dominique;26
Laure;26
Shana;26
Bettina;26
Aurore;26
Delphine;26
Barbara;26
Amina;25
Ilona;25
Lejla;25
Ella;24
Viola;24
Gloria;24
Jasmina;24
Catarina;24
Yara;23
Eleonora;23
Angelina;23
Carolina;23
Marta;23
Laila;23
Aisha;23
Oriane;23
Katharina;23
Lydia;23
Petra;23
Donika;23
Coline;23
Alison;23
Egzona;23
Luisa;22
Isabella;22
Leana;22
Christina;22
Milica;22
Ariane;22
Erika;22
Franziska;22
Sheila;22
Dafina;22
Pamela;22
Helena;21
Lou;21
Natalia;21
Florentina;21
Margot;21
Megan;21
Fabia;21
Fabiana;21
Mégane;21
Elin;20
Alma;20
Aurelia;20
Noelia;20
Matilde;20
Fatima;20
Luzia;20
Vivien;20
Federica;20
Sereina;20
Célia;20
Vanesa;20
Samanta;20
Elina;19
Leyla;19
Aylin;19
Anika;19
Pia;19
Alba;19
Camilla;19
Jovana;19
Kimberly;19
Rita;19
Sanja;19
Romane;19
Monika;19
Ariana;18
Yael;18
Medina;18
Elif;18
Ilenia;18
Lola;18
Dina;18
Aida;18
Melinda;18
Seline;18
Adelina;18
Viviana;18
Virginia;18
Tara;17
Maja;17
Malin;17
Gioia;17
Juliana;17
Helen;17
Zora;17
Rina;17
Charline;17
Axelle;17
Maude;17
Myriam;17
Florina;17
Roxane;17
Silja;17
Ajla;16
Anastasija;16
Elisabeth;16
Helin;16
Mona;16
Riana;16
Simea;16
Kyra;16
Raquel;16
Selena;16
Morena;16
Inès;16
Naima;16
Erica;16
Miranda;16
Kaltrina;16
Leonita;16
Lily;15
Amira;15
Leah;15
Asia;15
Maëlle;15
Gaia;15
Moana;15
Naemi;15
Léane;15
Gwendoline;15
Joanne;15
Andjela;15
Liv;14
Aleyna;14
Nuria;14
Beatrice;14
Adina;14
Alissia;14
Leoni;14
Alix;14
Flora;14
Greta;14
Irene;14
Salomé;14
Ilayda;14
Silvana;14
Albina;14
Laurie;14
Laeticia;14
Mira;13
Leona;13
Moira;13
Giuliana;13
Irem;13
Verona;13
Laurine;13
Leticia;13
Eveline;13
Tanya;13
Felicia;12
Nerea;12
Marlene;12
Veronika;12
Vivian;12
Eileen;12
Judith;12
Kenza;12
Magdalena;12
Sofie;12
Solène;12
Jamie;12
Aileen;12
Marianna;12
Matea;12
Melani;12
Ambre;12
Joëlle;12
Esra;12
Iman;12
Alizée;12
Caterina;12
Evelyne;12
Fatma;12
Emilia;11
Mila;11
Elea;11
Louisa;11
Thea;11
Alisa;11
Amra;11
Léonie;11
Enya;11
Liliana;11
Melody;11
Rhea;11
Tessa;11
Eloïse;11
Anisa;11
Beatriz;11
Elma;11
Paola;11
Shirin;11
Ylenia;11
Aude;11
Diane;11
Ophélie;11
Adrienne;11
Filipa;11
Jolanda;11
Anne-Sophie;11
Lidia;11
Nikita;11
Riccarda;11
Lauriane;11
Sabine;11
Natasha;11
Matilda;10
Amy;10
Dalia;10
Cecilia;10
Lilly;10
Josephine;10
Rose;10
Astrid;10
Esther;10
Lilian;10
Samara;10
Alyssia;10
Norina;10
Raphaela;10
Yasmina;10
Clarissa;10
Inês;10
Larisa;10
Malika;10
Maelle;10
Ashley;10
Gabriella;10
Dijana;10
Agathe;10
Clémentine;10
Zeynep;10
Berfin;10
Leïla;10
Line;10
Cloé;10
Elona;10
Oriana;10
Anissa;10
Tamina;10
Artina;10
Merisa;10
Raffaela;10
Mandy;10
Jara;9
Klara;9
Azra;9
Teodora;9
Amalia;9
Teresa;9
Maxine;9
Natalija;9
Daphne;9
Eden;9
Gabrielle;9
Heidi;9
Ruth;9
Stefania;9
Emine;9
Loana;9
Léna;9
Méline;9
Mélina;9
Ayse;9
Wendy;9
Angelica;9
Bruna;9
Mariam;9
Sinja;9
Magali;9
Anna-Lena;9
Damla;9
Maureen;9
Nancy;9
Dalila;9
Marianne;9
Amelia;8
Romy;8
Kaja;8
Clea;8
Layla;8
