name;frequency
Luca;653
David;502
Simon;484
Joel;420
Jan;419
Noah;381
Marco;381
Lukas;378
Samuel;364
Fabian;353
Nicolas;341
Michael;323
Jonas;312
Kevin;307
Robin;305
Tim;294
Fabio;294
Florian;294
Daniel;277
Pascal;277
Dario;259
Thomas;257
Benjamin;251
Manuel;250
Patrick;250
Marc;234
Nico;232
Sven;214
Adrian;210
Alessandro;201
Dominik;201
Raphael;199
Nicola;195
Stefan;194
Sandro;192
Silvan;191
Tobias;183
Matteo;176
Cedric;176
Gabriel;163
Yannick;161
Lars;160
Alexandre;160
Loris;159
Lucas;158
Alessio;155
Valentin;150
Dylan;148
Jonathan;146
Julian;144
Dominic;142
Alexander;139
Alex;139
Christian;138
Ramon;134
Philipp;133
Gian;130
Elias;126
Matthias;126
Julien;125
Maxime;122
Timo;120
Nils;119
Mike;119
Roman;118
Joshua;116
Leandro;112
Jeremy;112
Louis;111
Andreas;107
Severin;107
Oliver;106
Nathan;106
Remo;106
Rafael;104
Ivan;104
Quentin;104
Elia;103
Kilian;103
Andrin;102
Leon;101
Vincent;99
Diego;98
Noel;98
Mattia;97
Sascha;97
Davide;96
Yves;96
Colin;95
Sebastian;95
Martin;95
Mathieu;95
Nick;91
Denis;89
Cyrill;88
Aaron;87
Eric;87
Andrea;85
Leo;84
Nikola;84
Michel;83
Cyril;82
Timon;81
Bryan;80
Romain;80
Damian;79
Guillaume;78
Janis;77
Mario;76
Janik;76
Justin;76
Lorenzo;75
Loïc;75
Adrien;74
Ruben;73
Francesco;73
Silas;73
Arnaud;72
Hugo;71
Luc;70
Thierry;69
Livio;68
Jason;68
Anthony;68
Axel;68
Reto;68
Leonardo;67
Gianluca;66
Moritz;65
Mathias;65
Antoine;65
Alain;65
Marcel;64
Marko;63
Philippe;63
Yann;62
Kai;61
Noe;61
Jerome;61
Dennis;61
Linus;60
Arthur;59
Marvin;59
Tristan;59
Théo;59
Loic;57
William;56
Tom;56
Andri;56
Alan;56
Riccardo;56
Damien;56
Mauro;55
Flavio;54
Claudio;52
Simone;52
Ryan;51
Antonio;50
Nino;49
Alexis;49
Bruno;49
Michele;49
Paul;48
Micha;48
Bastien;48
Steven;48
Ricardo;47
Matthieu;47
Liam;46
Felix;46
Theo;46
Luka;46
Filip;46
Mischa;46
Yanick;46
Victor;45
Levin;44
Tiago;44
Patrik;44
Aleksandar;43
Philip;42
Diogo;42
Maurice;41
Till;41
Samuele;41
Mohamed;41
Ardit;41
Maximilian;40
Leonard;40
Ali;40
Basil;39
Altin;39
Albin;39
Yannic;39
Luis;38
Max;38
Christopher;38
Karim;38
Christoph;38
Fabien;38
Yanik;38
Lionel;37
Aron;37
Niklas;37
Pablo;37
Nolan;37
Jérémy;37
Cédric;36
Yannis;36
Mirco;36
Janick;36
Joël;36
Fabrice;36
Thibault;36
Stefano;36
Laurin;35
Gabriele;35
Marius;35
Giuseppe;35
Florent;35
Jordan;35
Sacha;35
Federico;34
Nando;34
Yannik;34
Ivo;34
Sean;34
Jannis;33
Léo;33
Raffael;33
Miguel;32
Laurent;32
Baptiste;32
Massimo;32
Pierre;32
Björn;31
Jannik;31
Robert;31
Dimitri;31
Brian;31
Gregory;31
Endrit;31
Sasha;31
Edon;31
Gian-Luca;31
Chris;31
Noé;30
Dorian;30
Lorenz;30
Rinor;30
Lucien;30
Silvio;30
Egzon;30
Omar;29
Emanuel;29
Danilo;29
Dany;29
Raoul;29
Rico;29
Timothy;29
Melvin;29
Filipe;29
Noa;28
Daniele;28
Etienne;28
Tanguy;28
Andy;28
Mika;27
Angelo;27
Roberto;27
Yoann;27
Janic;27
Enis;27
Lino;26
Flurin;26
Yanis;26
Carlos;26
Arber;26
