name;frequency
Müller;228
Meyer;195
Schmid;157
Salis;113
Weber;109
Huber;89
Keller;89
Wattenwyl;82
Diesbach;76
Fischer;71
Frey;70
Planta;70
Steiger;67
Steiner;63
Tschudi;63
Reding;59
Wyss;57
Brunner;56
La;55
Muralt;54
Graffenried;52
Courten;51
Burckhardt;49
Haller;48
Martin;48
Erlach;46
Escher;46
Wirz;46
Ziegler;46
Jenny;45
Moser;45
Savoie;44
Orelli;43
Hirzel;42
Hauser;41
Roll;41
Suter;41
Tscharner;39
Hallwyl;38
Peyer;38
Ammann;36
Habsbourg;36
Moos;36
Riedmatten;36
Schneider;36
Studer;36
Tobler;36
Bachmann;35
Beroldingen;35
Hess;35
Tanner;35
Flüe;34
Sulzer;34
Sury;34
Chambrier;33
Ott;33
Bucher;32
Kalbermatten;32
Neuchâtel;32
Schulthess;32
Seiler;32
Hartmann;31
Wagner;31
Waldkirch;31
Weck;31
Widmer;31
Arx;30
Baumgartner;30
Bühler;30
Ernst;30
Locher;30
Meier;30
Schnyder;30
Vogt;30
Heer;29
Le;29
Schumacher;29
Büren;28
Castella;28
Graf;28
Mont;28
Mülinen;28
Pfister;28
Saussure;28
Zimmermann;28
Arnold;27
Bodmer;27
May;27
Pfyffer;27
Sprecher;27
Sutter;27
Ulrich;27
Zelger;27
Frei;26
Landolt;26
Meuron;26
Montenach;26
Montmollin;26
Roth;26
Schindler;26
Staub;26
Weiss;26
Zellweger;26
Berger;25
Marti;25
Matt;25
Schuler;25
Segesser;25
Stadler;25
Werra;25
Zeller;25
Beck;24
Christen;24
Crousaz;24
Furrer;24
Grandson;24
Kaiser;24
Lang;24
Pestalozzi;24
Pury;24
Roten;24
Sax;24
Schiess;24
Wild;24
Ab;23
De;23
Pictet;23
Rusca;23
Sandoz;23
Schweizer;23
Sonnenberg;23
Stähelin;23
Tribolet;23
Baumann;22
Blumer;22
Castelberg;22
Gléresse;22
Gottrau;22
Hürlimann;22
Im;22
Sarasin;22
Schaller;22
Vogel;22
Zollikofer;22
Balthasar;21
Brun;21
Dubois;21
Iten;21
König;21
Michel;21
Muheim;21
Nägeli;21
Schläpfer;21
Vischer;21
Blarer;20
Bonstetten;20
Favre;20
Fellenberg;20
Gasser;20
Glutz;20
Greyerz;20
Herzog;20
Honegger;20
Imfeld;20
Keiser;20
Koch;20
Mayer;20
Merian;20
Merz;20
Praroman;20
Scherrer;20
Schönau;20
Schwarz;20
Stocker;20
Stürler;20
Wurstemberger;20
Hertenstein;19
Imhof;19
Püntener;19
Rivaz;19
Rossi;19
Schlatter;19
Secretan;19
Stettler;19
Stucki;19
Tavel;19
Torriani;19
Werdmüller;19
Zurlauben;19
Zwicky;19
Abegg;18
Brandis;18
Deschwanden;18
Gingins;18
Goumoëns;18
Hofer;18
Hofmann;18
Hug;18
Iselin;18
Lutz;18
Meyenburg;18
Mohr;18
Preux;18
Ritter;18
Riva;18
Rougemont;18
Schinz;18
Sidler;18
Stockalper;18
Brandenberg;17
Dufour;17
Egger;17
Egli;17
Fehr;17
Girard;17
Heim;17
Kaufmann;17
Kopp;17
Kunz;17
Lussi;17
Luternau;17
Maurer;17
Montfalcon;17
Münch;17
Travers;17
Zweifel;17
Andermatt;16
Barth;16
Bavier;16
Bischoff;16
Bleuler;16
Borel;16
Bossard;16
Chastonay;16
Effinger;16
Fleckenstein;16
Füssli;16
Grob;16
Hottinger;16
Jost;16
Latour;16
Lerber;16
Liechtenstein;16
Lusser;16
Montfort;16
Platea;16
Rahn;16
Rarogne;16
Reinhart;16
Reynold;16
Roggenbach;16
Schorno;16
Tillier;16
Wartmann;16
Wehrli;16
Wolfenschiessen;16
Zehnder;16
Zürcher;16
Auf;15
Bernoulli;15
Bircher;15
Bürgi;15
Feer;15
Fontana;15
Geiger;15
Girardet;15
Gruner;15
Haas;15
Henggeler;15
Hoffmann;15
Isler;15
Jauch;15
Kern;15
Kohler;15
Kuhn;15
Morel;15
Naville;15
Odermatt;15
Raemy;15
Rinck;15
Rodt;15
Rüegg;15
Senn;15
Stamm;15
Techtermann;15
Usteri;15
Walser;15
Wettstein;15
Wolf;15
Albertini;14
Berthoud;14
Betschart;14
Billieux;14
Bösch;14
Bovet;14
Bridel;14
Buol;14
Candolle;14
Chavannes;14
Conrad;14
Cramer;14
Faesch;14
Fégely;14
Gisler;14
Gruyère;14
Heinrich;14
Hochberg;14
Hunziker;14
